,ジャンル,単語,拼音,日本語訳,補足説明,例文,例文の修正案
36,日常会話・雑談,对了,duì le,そうだ・あ、ちなみに,思い出したことを言うときの前置き。,对了，你明天有空吗？/ そうだ、明日時間ある？,
37,日常会話・雑談,顺便说一下,shùnbiàn shuō yíxià,ついでに言うと,追加情報を伝えるときの表現。,顺便说一下，那家店关了。/ ついでに言うと、あの店閉まった。,
38,日常会話・雑談,说起来,shuō qǐlái,言えば・そういえば,関連する話題を導入するときの表現。,说起来，我们好久没见了。/ そういえば、久しぶりだね。,
39,日常会話・雑談,讲真,jiǎng zhēn,マジで・本当のこと言うと,本音を言う前の前置き。广东語由来。,讲真，我不太喜欢他。/ マジで、あいつあまり好きじゃない。,
40,日常会話・雑談,不得不说,bù dé bù shuō,言わざるを得ないけど,少し言いにくいことを言うときの前置き。,不得不说，这个有点难看。/ 言わざるを得ないけど、これちょっとダサい。,
41,日常会話・雑談,说实话,shuō shíhuà,正直に言うと,本音を切り出すときの表現。,说实话，我有点累了。/ 正直に言うと、ちょっと疲れた。,
42,日常会話・雑談,说不定,shuō bu dìng,もしかしたら・ひょっとすると,可能性を示す表現。,说不定他不知道。/ もしかしたら彼は知らないかも。,
43,日常会話・雑談,搞不好,gǎo bu hǎo,もしかしたら（口語）,「说不定」より口語的な表現。,搞不好她已经走了。/ もしかしたらもう行ったかも。,
44,日常会話・雑談,估计,gūjì,たぶん・おそらく,推測を述べるときに使う表現。,估计他不会来了。/ たぶん彼は来ないと思う。,
45,日常会話・雑談,感觉,gǎnjué,なんか・〜な気がする,曖昧な感覚を述べるときの前置き。,感觉最近有点奇怪。/ なんか最近ちょっとおかしい気がする。,
46,日常会話・雑談,蛮,mán,けっこう・なかなか（南方）,南方方言でよく使う「挺」の類義語。,蛮不错的。/ けっこういいじゃん。,
47,日常会話・雑談,不至于,bú zhìyú,そこまでではない,誇張を否定するときの表現。,不至于吧，没那么严重。/ そこまでじゃないでしょ、そんなに深刻じゃない。,
48,日常会話・雑談,至于吗,zhìyú ma,そこまでする必要ある？,やりすぎや大げさに対するツッコミ。,至于吗，就这点小事。/ そこまでする必要ある？こんな小さいことで。,
49,日常会話・雑談,哪有,nǎ yǒu,そんなことない・そんなわけない,否定や謙遜のときに使う表現。,哪有，我哪里厉害了。/ そんなことない、どこがすごいんだよ。,
50,日常会話・雑談,差远了,chà yuǎn le,まだまだです・全然違う,謙遜や実力不足を示す表現。,我和他比差远了。/ 彼と比べたらまだまだだ。,
51,日常会話・雑談,不一定,bù yídìng,必ずしも〜とは限らない,断定を避けるときの表現。,不一定，要看情况。/ 必ずしもそうとは限らない、状況による。,
52,日常会話・雑談,看情况,kàn qíngkuàng,状況次第・場合による,明確な答えを避けるときの表現。,去不去看情况吧。/ 行くかどうかは状況次第だな。,
53,日常会話・雑談,到时候再说,dào shíhou zài shuō,その時になったら考えよう,今は決めずに後回しにする表現。,到时候再说吧，急什么。/ その時になったら考えよう、何を急いでるの。,
54,日常会話・雑談,先这样吧,xiān zhèyàng ba,とりあえずこれで,暫定的な結論を出すときの表現。,先这样吧，之后再改。/ とりあえずこれで、後で直そう。,
55,日常会話・雑談,就这样吧,jiù zhèyàng ba,じゃあこれで・これでいいか,話を締めくくるときの表現。,就这样吧，不说了。/ じゃあこれで、もういい。,
56,日常会話・雑談,拉倒吧,lādǎo ba,もういいや・やめとけ,諦めや却下のときの表現。,拉倒吧，算了。/ もういいや、やめとこ。,
57,日常会話・雑談,凭什么,píng shénme,なんで？・何の根拠で？,不満や反論のときの表現。,凭什么是我？/ なんで私なの？,
58,日常会話・雑談,又不是,yòu bú shì,〜でもないのに,言い訳や反論のときに使う表現。,又不是我的错。/ 私のせいじゃないんだから。,
59,日常会話・雑談,又怎了,yòu zěn le,また何？・今度は何？,繰り返しのトラブルや文句に対する反応。,又怎了，天天有事。/ また何？毎日何かある。,
60,日常会話・雑談,管它呢,guǎn tā ne,知らないよ・関係ない,気にしないときの投げやりな表現。,管它呢，随他去吧。/ 知らないよ、好きにさせとけ。,
61,日常会話・雑談,管你呢,guǎn nǐ ne,知らないよ（相手に対して）,少し突き放した表現。,管你呢，我自己决定。/ 知らない、自分で決める。,
62,日常会話・雑談,懒得说,lǎn de shuō,言うのも面倒くさい,説明する気力がないときの表現。,懒得说，你自己看着办。/ 言うのも面倒くさい、自分で考えて。,
63,日常会話・雑談,随你,suí nǐ,好きにして・あなた次第,相手に委ねるときの表現。,随你，我没意见。/ 好きにして、私は意見ない。,
64,日常会話・雑談,随他去,suí tā qù,ほっとけ・好きにさせとけ,第三者のことを気にしないときの表現。,随他去吧，管不了。/ ほっとけ、どうにもならない。,
65,日常会話・雑談,要我说,yào wǒ shuō,私に言わせれば,自分の意見を言う前の前置き。,要我说，这样不太好。/ 私に言わせれば、これはあまりよくない。,
66,日常会話・雑談,说白了,shuō bái le,要するに・はっきり言うと,結論を簡単に言うときの表現。,说白了，就是没钱。/ 要するに、お金がないってこと。,
67,日常会話・雑談,简单来说,jiǎndān lái shuō,簡単に言うと,複雑な内容を要約するときの前置き。,简单来说，就是失败了。/ 簡単に言うと、失敗したってこと。,
68,日常会話・雑談,总之,zǒngzhī,とにかく・いずれにせよ,結論をまとめるときの表現。,总之，先试试看。/ とにかく、まずやってみよう。,
69,日常会話・雑談,不管怎样,bùguǎn zěnyàng,どうあれ・いずれにしても,条件に関わらず決意を示す表現。,不管怎样，我都支持你。/ どうあれ、あなたを支持する。,
70,日常会話・雑談,话不多说,huà bù duō shuō,余計なことは言わずに,手短に本題に入るときの表現。,话不多说，我们开始吧。/ 余計なことは言わずに、始めよう。,
71,日常会話・雑談,废话不多说,fèihuà bù duō shuō,前置きはいらない・さっさと言うと,「话不多说」をより強調した表現。,废话不多说，直接说重点。/ 前置きはいらない、直接ポイントを言って。,
72,日常会話・雑談,你说呢,nǐ shuō ne,あなたはどう思う？,相手の意見を促す表現。,你说呢，你怎么看？/あなたはどう思う？,
73,日常会話・雑談,你懂我意思吗,nǐ dǒng wǒ yìsi ma,言ってること伝わってる？,理解を確認するときの表現。,你懂我意思吗，就是那种感觉。/ 言ってること伝わってる？あの感じよ。,
74,日常会話・雑談,懂了没,dǒng le méi,わかった？（急かし気味）,少し急かすニュアンスの確認表現。,懂了没，就照这个做。/ わかった？これ通りにやって。,
75,日常会話・雑談,啥意思,shá yìsi,どういう意味？（北方）,「什么意思」の北方方言省略形。,啥意思，我没懂。/ どういう意味？わからなかった。,
76,日常会話・雑談,就是说,jiùshì shuō,つまり,前の話を受けて言い換えるときの表現。,就是说，你不想去？/ つまり、行きたくないってこと？,
77,日常会話・雑談,也就是说,yě jiùshì shuō,つまり（丁寧）,「就是说」の丁寧版。,也就是说，这件事结束了？/ つまり、この件は終わったってこと？,
78,日常会話・雑談,换句话说,huàn jù huà shuō,言い換えると,説明を言い換えるときの表現。,换句话说，你不相信我？/ 言い換えると、私を信じてないってこと？,
79,日常会話・雑談,扯远了,chě yuǎn le,話が脱線した,話が本題から外れたことを指摘する表現。,扯远了，说回正题吧。/ 話が脱線した、本題に戻ろう。,
80,日常会話・雑談,跑题了,pǎo tí le,話が外れた・脱線した,「扯远了」と同じ意味。,好像跑题了，我们继续。/ 話が外れた気がする、続けよう。,
81,日常会話・雑談,先不说这个,xiān bù shuō zhège,それはひとまず置いといて,話題を一旦保留にするときの表現。,先不说这个，你还好吗？/ それはひとまず置いといて、大丈夫？,
82,日常会話・雑談,不扯了,bù chě le,脱線やめよう・本題に戻ろう,雑談を切り上げて本題に戻る表現。,不扯了，说正事。/ 脱線やめよう、本題を話そう。,
83,日常会話・雑談,好了好了,hǎo le hǎo le,もういいって,相手をなだめたり話を終わらせるときの表現。,好了好了，别吵了。/ もういいって、ケンカやめて。,
84,日常会話・雑談,行了行了,xíng le xíng le,わかったわかった,少し呆れ気味に話を終わらせる表現。,行了行了，我知道了。/ わかったわかった、もういい。,
85,日常会話・雑談,好啦,hǎo la,わかったって・もういいよ,軽く了解したときの表現。,好啦，我去还不行吗。/ わかったって、行けばいいでしょ。,
86,日常会話・雑談,那就这样,nà jiù zhèyàng,じゃあこれで,結論を出して話を終わらせる表現。,那就这样，明天见。/ じゃあこれで、また明日。,
87,日常会話・雑談,那行,nà xíng,じゃあいいよ・それでOK,合意して話を締めるときの表現。,那行，就这么定了。/ じゃあいいよ、これで決まり。,
88,日常会話・雑談,定了,dìng le,決まり・確定,物事が決まったことを示す表現。,好，就这样，定了！/ よし、これで、決まり！,
89,日常会話・雑談,一言为定,yì yán wéi dìng,約束だよ・言ったからな,約束を確認するときの表現。,一言为定，不许反悔。/ 約束だよ、後悔しても知らない。,
90,日常会話・雑談,说好了,shuō hǎo le,約束したよ・決めたよ,「一言为定」の口語版。,说好了啊，别忘了。/ 約束したよ、忘れないでね。,
91,日常会話・雑談,就这,jiù zhè,これで・以上,シンプルに結論を示す表現。,就这，没别的了。/ これで、以上。,
92,日常会話・雑談,内卷,nèijuǎn,過当競争・消耗戦,社会現象を表す。勉強・仕事に多用。,现在内卷太严重了。/ 今は過当競争がひどすぎる。,
93,日常会話・雑談,躺平,tǎng píng,寝そべり族・諦め,競争に参加せず脱力する生き方。,我决定躺平了，不卷了。/ 寝そべることにした、もう競争しない。,
94,日常会話・雑談,打工人,dǎgōng rén,社畜・労働者,"自虐的に使う。「打工人,打工魂」が流行。",打工人的日常，上班下班。/ 社畜の日常、出勤と退勤。,
95,日常会話・雑談,佛系,fó xì,悟り系・何事も気にしない,執着しないライフスタイル。,他很佛系，什么都无所谓。/ 彼は悟り系で、何でも気にしない。,
96,日常会話・雑談,摆烂,bǎi làn,自暴自棄・どうでもいい,諦めてやる気をなくした状態。,算了，我摆烂了。/ もういいや、どうでもいい。,
97,日常会話・雑談,躺赢,tǎng yíng,棚ぼた・何もせず勝つ,努力せずに良い結果を得ること。,这次躺赢了，没想到。/ 今回は棚ぼただった、思わなかった。,
98,日常会話・雑談,内耗,nèihào,内なる消耗・自己消費,自分の中で悩みすぎてエネルギーを消耗すること。,别内耗了，想太多了。/ 悩みすぎないで、考えすぎだよ。,
99,日常会話・雑談,精神内耗,jīngshén nèihào,精神的な自己消耗,精神的なエネルギーを無駄に使うこと。,这件事让我精神内耗了好久。/ この件でずっと精神的に消耗した。,
100,日常会話・雑談,本来嘛,běnlái ma,もともとそういうもんだよ,当然のことを説明するときの表現。,本来嘛，这种事很正常。/ もともとそういうもんだよ、普通のことだ。,
101,日常会話・雑談,杀疯了,shā fēng le,無双している・最強モード,圧倒的な強さや魅力を発揮しているとき。,她今天杀疯了，美得不行。/ 彼女今日無双してる、美しすぎる。,
102,日常会話・雑談,顶,dǐng,最高・いいね・支持する,SNSの「いいね」感覚で使う口語。,顶！这个太好了。/ いいね！これ最高。,
103,日常会話・雑談,绝绝子,jué jué zǐ,やばすぎ・最高すぎ,「绝了」を強調したSNS造語。,这个穿搭绝绝子！/ このコーデやばすぎ！,
104,日常会話・雑談,炸了,zhà le,爆発した・やばい・バズった,驚きや興奮、または話題が爆発したとき。,这个消息炸了，到处都在说。/ このニュースが爆発した、どこでも話してる。,
105,日常会話・雑談,炸裂,zhà liè,爆発的にすごい,「炸了」より強い表現。,她唱歌真的炸裂，太厉害了。/ 彼女の歌声は爆発的にすごい。,她唱歌真的炸裂，太厉害了。/ 彼女の歌声は爆発的にすごい。
106,日常会話・雑談,拿下,ná xià,攻略した・ゲットした,目標を達成したときの表現。,我把这个考试拿下了！/ 試験攻略した！,我把这个考试拿下了！/ この試験攻略した！
107,日常会話・雑談,稳了,wěn le,決まった・もらった,勝利や成功が確実になったとき。,稳了，这次肯定过。/ 決まった、今回は絶対通る。,
108,日常会話・雑談,寄了,jì le,終わった・詰んだ,失敗や絶望的な状況を表すネット語。,作业没做，寄了。/ 宿題やってない、詰んだ。,
109,日常会話・雑談,名不虚传,míng bù xū chuán,噂通りだった・さすが,評判通りだったときの感想。,这家店名不虚传，真的好吃。/ この店は噂通り、本当に美味しかった。,
110,日常会話・雑談,属实,shǔ shí,確かに・本当に・マジで,強い同意や確認の口語表現。,属实，这个太准了。/ 確かに、これ的確すぎる。,
111,日常会話・雑談,有意思,yǒu yìsi,面白い・興味深い,興味をひかれたときの表現。,这个想法有意思，说来听听。/ この考え面白い、聞かせて。,
112,日常会話・雑談,说得通,shuō de tōng,筋が通る・理にかなっている,論理的に正しいときの表現。,你的说法说得通，我同意。/ あなたの言うことは筋が通る、同意する。,你的说法说得通，我同意。/ あなたの言うことは筋が通る、同意する。
113,日常会話・雑談,说不通,shuō bu tōng,筋が通らない・意味不明,論理的におかしいときの表現。,这个逻辑说不通啊。/ この論理は筋が通らない。,
114,日常会話・雑談,社死,shè sǐ,社会的に死んだ・恥ずかしすぎる,極度に恥ずかしい経験をしたとき。,当着那么多人出糗，社死了。/ あんなに大勢の前で失敗して、社会的に死んだ。,
115,日常会話・雑談,翻车,fān chē,失敗する・炎上する,計画が崩れたり公開で失敗したとき。,这次直播翻车了，太尴尬了。/ 今回のライブ配信は失敗した、すごく気まずかった。,
116,日常会話・雑談,踩坑,cǎi kēng,失敗する・罠にはまる,予期せず失敗すること。,买这个踩坑了，完全不值。/ これを買って失敗した、全然価値なかった。,
117,日常会話・雑談,跳坑,tiào kēng,わかってて罠にはまる,失敗とわかっていながら進むこと。,明知道是坑还跳，没救了。/ 罠とわかってて飛び込む、もう救いようがない。,
118,日常会話・雑談,给力,gěi lì,頼もしい・さすが・いい感じ,期待通りかそれ以上のとき。,这次表现给力，继续保持。/ 今回のパフォーマンスは頼もしかった、続けて。,
119,日常会話・雑談,靠谱,kào pǔ,信頼できる・しっかりしてる,頼れる人や計画への評価。,他很靠谱，交给他放心。/ 彼は信頼できる、任せて安心。,
120,日常会話・雑談,坑货,kēng huò,迷惑な奴・使えない奴,問題を起こしたり役に立たない人への表現。,你这坑货，又出错了。/ このダメ野郎、また失敗した。,
121,日常会話・雑談,猪队友,zhū duìyǒu,足を引っ張るチームメート,チームの足を引っ張る仲間。,遇到猪队友，真的没辙。/ 足を引っ張る仲間に当たったら、どうにもならない。,
122,日常会話・雑談,神队友,shén duìyǒu,神チームメート・最高の仲間,「猪队友」の対義語。,这次遇到神队友，太幸运了。/ 今回は神チームメートに当たった、超ラッキー。,
123,日常会話・雑談,开挂,kāi guà,チートしてる・異次元の強さ,ゲームのチートが由来。普通を超えた能力。,他学习开挂了，次次满分。/ 彼の勉強はチートレベル、毎回満点。,
124,日常会話・雑談,血赚,xuè zhuàn,めちゃくちゃ得した,「大赚了」より強い表現。,这个优惠血赚，买了！/ この割引で超得した、買った！,
125,日常会話・雑談,亏大了,kuī dà le,大損した・最悪だった,大きく損をしたり後悔したとき。,买了这个亏大了，完全没用。/ これを買って大損した、全然使えない。,
126,日常会話・雑談,肠子悔青了,cháng zi huǐ qīng le,死ぬほど後悔している,腸が後悔で青くなるほど後悔しているとき。,当时没买，肠子悔青了。/ あの時買わなかったこと、死ぬほど後悔してる。,
127,日常会話・雑談,早说啊,zǎo shuō a,早く言ってよ,もっと早く教えてほしかったときの表現。,早说啊，我早就来了。/ 早く言ってよ、もっと早く来たのに。,
128,日常会話・雑談,命大,mìng dà,運が強い・九死に一生,危ない目に遭ったのに助かったとき。,这次真的命大，差点出事。/ 今回は本当に運が強かった、もう少しで大変なことになるとこだった。,
129,日常会話・雑談,天助我也,tiān zhù wǒ yě,天が味方した・超ラッキー,偶然が重なって上手くいったとき。,天助我也，刚好赶上了。/ 天が味方した、ちょうど間に合った。,
130,日常会話・雑談,老天保佑,lǎo tiān bǎoyòu,神様助けて・お願いします,祈りや願いを込めた表現。,老天保佑，希望能过。/ 神様助けて、通りますように。,
131,日常会話・雑談,完蛋了,wándàn le,終わった・アウト,「寄了」と同義だが少し古い表現。,忘带钱包了，完蛋了。/ 財布忘れた、終わった。,
132,日常会話・雑談,凉了,liáng le,終わった・冷めた・ダメになった,計画や関係が冷めてダメになったとき。,这件事凉了，没戏了。/ この件は終わった、もう無理だ。,
133,日常会話・雑談,黄了,huáng le,ダメになった・流れた,予定や計画がなくなったとき。,旅行计划黄了，取消了。/ 旅行計画が流れた、キャンセルになった。,
134,日常会話・雑談,崩了,bēng le,崩壊した・終わった,状況が崩れ落ちたとき。,系统崩了，全没了。/ システムが崩壊した、全部消えた。,
135,日常会話・雑談,炸锅了,zhà guō le,大騒ぎになった・パニック,周りが一斉に騒ぎ出した状況。,这消息一出，全网炸锅了。/ このニュースが出た途端、ネット全体が大騒ぎになった。,
136,日常会話・雑談,乱套了,luàn tào le,めちゃくちゃになった,状況が混乱してコントロールを失ったとき。,计划全变了，乱套了。/ 計画が全部変わって、めちゃくちゃになった。,
137,日常会話・雑談,搞砸了,gǎo zá le,しくじった・台無しにした,大切なことを失敗させてしまったとき。,这次面试搞砸了，太可惜了。/ 今回の面接しくじった、もったいなかった。,
138,日常会話・雑談,搞定,gǎodìng,片付いた・解決した・ゲット,問題が解決したときの達成感のある表現。,搞定了！终于完成了。/ 片付いた！やっと終わった。,
139,日常会話・雑談,完事了,wán shì le,終わった・片付いた,作業や用事が終わったときの表現。,完事了，可以走了。/ 終わった、もう行ける。,
140,日常会話・雑談,没跑了,méi pǎo le,間違いない・確実だ,逃げ場がないほど確実なとき。,这次奖励没跑了，肯定有。/ 今回のご褒美は間違いない、絶対ある。,
141,日常会話・雑談,跑不了,pǎo bu liǎo,確実・逃げられない,「没跑了」と同義。,这次你跑不了，必须来。/ 今回は確実、絶対来なきゃ。,
142,日常会話・雑談,八九不离十,bā jiǔ bù lí shí,ほぼ間違いない,十中八九正しいというニュアンス。,我猜八九不离十，就是他干的。/ ほぼ間違いない、彼がやったんだ。,
143,日常会話・雑談,十有八九,shí yǒu bā jiǔ,十中八九・ほぼそうだ,「八九不离十」と同義。,十有八九是这样，等着看吧。/ 十中八九そうだ、待って見てみよう。,
144,日常会話・雑談,多半,duōbàn,たぶん・大抵,高い確率での推測。,他多半不会来了。/ 彼はたぶん来ないだろう。,
145,日常会話・雑談,没准,méi zhǔn,もしかしたら・わからない,確実ではないときの表現。,没准他知道呢。/ もしかしたら彼が知ってるかも。,
146,日常会話・雑談,说不准,shuō bu zhǔn,何とも言えない・わからない,「没准」より少し強い不確実の表現。,这事说不准，看着办吧。/ この件は何とも言えない、様子を見よう。,
147,日常会話・雑談,逆天,nì tiān,やばい,すご/ひどすぎて常識外れなときの表現。,他的操作简直逆天。 / あの人のプレイはマジで逆天。,
148,日常会話・雑談,另说,lìng shuō,それはまた別の話,話題を分けるときの表現。,那是另说，先说这个。/ それはまた別の話、まずこれを話そう。,
149,日常会話・雑談,先说好,xiān shuō hǎo,先に言っておくけど,前提や条件を先に伝えるときの表現。,先说好，我不保证成功。/ 先に言っておくけど、成功は保証しない。,
150,日常会話・雑談,丑话说在前头,chǒuhuà shuō zài qiántou,最悪の場合を先に言っておく,悪い可能性を先に伝える表現。,丑话说在前头，可能会失败。/ 最悪の場合を先に言っておく、失敗するかもしれない。,
151,日常会話・雑談,话说回来,huà shuō huílái,話を戻すけど,脱線した話を元に戻す表現。,话说回来，你怎么想的？/ 話を戻すけど、あなたはどう思ってる？,
152,日常会話・雑談,扯一句,chě yī jù,ちょっと話が脱線するけど,話題を少しずらすときの表現。,扯一句，你有没有看那个电影？/ ちょっと脱線するけど、あの映画見た？,
153,日常会話・雑談,顺嘴说,shùn zuǐ shuō,ついでに言うと,口に出ついでに言う軽い表現。,顺嘴说一下，那家店不错。/ ついでに言うと、あの店いいよ。,
154,日常会話・雑談,随口说的,suí kǒu shuō de,何気なく言っただけ,深い意味がなかったことを説明するとき。,别当真，我随口说的。/ 本気にしないで、何気なく言っただけ。,
155,日常会話・雑談,逗你玩呢,dòu nǐ wán ne,からかっただけだよ,冗談だったと説明するとき。,逗你玩呢，别生气。/ からかっただけだよ、怒らないで。,
156,日常会話・雑談,当真了,dāng zhēn le,本気にした,冗談を本気に受け取ったとき。,你当真了？我只是开玩笑。/ 本気にしたの？冗談だったのに。,
157,日常会話・雑談,别当真,bié dāng zhēn,本気にしないで,冗談や軽い発言を真剣に受け取らないよう促す。,别当真，我就是随便说说。/ 本気にしないで、ただ適当に言っただけ。,
158,日常会話・雑談,说着玩,shuō zhe wán,冗談で言っただけ,軽い気持ちで言ったことを説明するとき。,说着玩的，你怎么信了。/ 冗談で言っただけなのに、なんで信じたの。,
159,日常会話・雑談,嘴硬,zuǐ yìng,負けを認めない・強がる,明らかに間違っているのに認めない様子。,明明输了还嘴硬，服了。/ 明らかに負けたのに強がって、参った。,
160,日常会話・雑談,死鸭子嘴硬,sǐ yāzi zuǐ yìng,死んでも認めない・強情,「嘴硬」をより強調した表現。,死鸭子嘴硬，就是不承认。/ 死んでも認めない、とにかく認めない。,
161,日常会話・雑談,认栽,rèn zāi,負けを認める・諦める,潔く負けを認めるとき。,这次认栽了，下次再来。/ 今回は負けを認める、次また来よう。,
162,日常会話・雑談,服软,fú ruǎn,折れる・折り合いをつける,強がりをやめて折れるとき。,最后他服软了，道歉了。/ 最後に彼は折れて、謝った。,
163,日常会話・雑談,低头,dītóu,頭を下げる・折れる,プライドを捨てて謝罪や妥協をするとき。,为了这件事，我不得不低头。/ この件のために、頭を下げるしかなかった。,
164,日常会話・雑談,抹不开面子,mǒ bu kāi miànzi,面子があって折れられない,プライドが邪魔して謝れないとき。,抹不开面子，说不出口。/ 面子があって、口に出せない。,
165,日常会話・雑談,没面子,méi miànzi,面子が潰れた・恥ずかしい,メンツをつぶされたとき。,当众出丑，没面子。/ 人前で恥をかいた、面子が潰れた。,
166,日常会話・雑談,丢人,diū rén,恥をかく・みっともない,人前で恥ずかしい思いをしたとき。,这也太丢人了，快走。/ これみっともなすぎ、早く行こう。,
167,日常会話・雑談,丢人现眼,diū rén xiàn yǎn,見てられないほど恥ずかしい,「丢人」の強調形。,这操作丢人现眼，别让人看见。/ このやらかし見てられない、誰にも見せないで。,
168,日常会話・雑談,不要脸,bú yào liǎn,恥知らず・厚かましい,恥を感じない人への表現。,你真不要脸，这也能说出口。/ 本当に恥知らず、よくそんなこと言えるね。,
169,日常会話・雑談,厚脸皮,hòu liǎn pí,厚かましい・図太い,図太く恥ずかしがらない人への表現。,他厚脸皮，被拒绝还继续追。/ 彼は図太くて、断られても追い続ける。,
170,日常会話・雑談,没皮没脸,méi pí méi liǎn,恥もプライドもない,「厚脸皮」より強い表現。,没皮没脸的，什么都敢做。/ 恥もプライドもなく、何でもやる。,
